model,accuracy,train_accuracy,recall,precision,cost,latency,date
XGBoost_tuke_sk_baai-16,59.02,0.0,0.0,0.0,0.0,2501867.3,2025-04-19 12:38:48.910960
SVM_tuke_sk_baai-32,63.82,0.0,0.0,0.0,0.0,21256617.7,2025-04-19 12:38:49.710065
XGBoost_tuke_sk_baai-32,59.02,0.0,0.0,0.0,0.0,2333745.7,2025-04-19 12:38:49.805275
SVM_tuke_sk_baai-64,63.82,0.0,0.0,0.0,0.0,41630759.46666667,2025-04-19 12:38:50.576745
XGBoost_tuke_sk_baai-64,59.02,0.0,0.0,0.0,0.0,3990176.4,2025-04-19 12:38:50.707504
SVM_tuke_sk_baai-128,63.82,0.0,0.0,0.0,0.0,75764535.875,2025-04-19 12:38:53.882913
XGBoost_tuke_sk_baai-128,59.02,0.0,0.0,0.0,0.0,2712617.25,2025-04-19 12:38:53.973519
SVM_tuke_sk_baai-256,63.82,0.0,0.0,0.0,0.0,151735386.5,2025-04-19 12:38:54.684550
XGBoost_tuke_sk_baai-256,59.02,0.0,0.0,0.0,0.0,3235714,2025-04-19 12:38:54.774776
SVM_dkk_baai-1,61.4,0.0,0.0,0.0,0.0,1479700.5987841946,2025-04-19 12:38:56.809383
XGBoost_dkk_baai-1,47.42,0.0,0.0,0.0,0.0,2024783.8784194528,2025-04-19 12:38:56.906844
SVM_dkk_baai-16,61.4,0.0,0.0,0.0,0.0,10297723.142857144,2025-04-19 12:38:57.269395
XGBoost_dkk_baai-16,47.42,0.0,0.0,0.0,0.0,2380832.476190476,2025-04-19 12:38:57.365137
SVM_dkk_baai-32,61.4,0.0,0.0,0.0,0.0,18856842.09090909,2025-04-19 12:38:57.703004
XGBoost_dkk_baai-32,47.42,0.0,0.0,0.0,0.0,2579991.5454545454,2025-04-19 12:38:57.820160
SVM_dkk_baai-64,61.4,0.0,0.0,0.0,0.0,33270277.666666668,2025-04-19 12:38:58.130113
XGBoost_dkk_baai-64,47.42,0.0,0.0,0.0,0.0,2888189.1666666665,2025-04-19 12:38:58.230654
SVM_dkk_baai-128,61.4,0.0,0.0,0.0,0.0,68027228,2025-04-19 12:38:58.570374
XGBoost_dkk_baai-128,47.42,0.0,0.0,0.0,0.0,12556277.666666666,2025-04-19 12:38:58.669871
SVM_dkk_baai-256,61.4,0.0,0.0,0.0,0.0,98094751.5,2025-04-19 12:38:58.960747
XGBoost_dkk_baai-256,47.42,0.0,0.0,0.0,0.0,2359535,2025-04-19 12:38:59.060105
SVM_web_questions_baai-1,59.74,0.0,0.0,0.0,0.0,1399069.6451771653,2025-04-19 12:39:05.700131
XGBoost_web_questions_baai-1,58.76,0.0,0.0,0.0,0.0,1580957.8164370079,2025-04-19 12:39:05.796850
SVM_web_questions_baai-16,59.74,0.0,0.0,0.0,0.0,10203294.976377953,2025-04-19 12:39:07.510328
XGBoost_web_questions_baai-16,58.76,0.0,0.0,0.0,0.0,2517989.4566929135,2025-04-19 12:39:07.608741
SVM_web_questions_baai-32,59.74,0.0,0.0,0.0,0.0,19332604.484375,2025-04-19 12:39:09.162454
XGBoost_web_questions_baai-32,58.76,0.0,0.0,0.0,0.0,3459344.375,2025-04-19 12:39:09.258185
SVM_web_questions_baai-64,59.74,0.0,0.0,0.0,0.0,38189168.46875,2025-04-19 12:39:10.700477
XGBoost_web_questions_baai-64,58.76,0.0,0.0,0.0,0.0,3963307.34375,2025-04-19 12:39:10.791860
SVM_web_questions_baai-128,59.74,0.0,0.0,0.0,0.0,72958590.3125,2025-04-19 12:39:12.390529
XGBoost_web_questions_baai-128,58.76,0.0,0.0,0.0,0.0,5970519.0625,2025-04-19 12:39:12.483586
SVM_web_questions_baai-256,59.74,0.0,0.0,0.0,0.0,143148886.125,2025-04-19 12:39:13.758735
XGBoost_web_questions_baai-256,58.76,0.0,0.0,0.0,0.0,4040686.625,2025-04-19 12:39:13.852822
SVM_ml_questions_baai-1,96.88,0.0,0.0,0.0,0.0,1532922.390625,2025-04-19 12:39:14.912941
XGBoost_ml_questions_baai-1,92.97,0.0,0.0,0.0,0.0,3102244.46875,2025-04-19 12:39:15.000177
SVM_ml_questions_baai-16,96.88,0.0,0.0,0.0,0.0,11938308,2025-04-19 12:39:15.202611
XGBoost_ml_questions_baai-16,92.97,0.0,0.0,0.0,0.0,2527668.25,2025-04-19 12:39:15.294311
SVM_ml_questions_baai-32,96.88,0.0,0.0,0.0,0.0,21805729.25,2025-04-19 12:39:15.476130
